epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.540454,0.678243,False,0.333915,0.475608,0.420922,-0.111626
2,0.460997,0.734203,False,0.310801,0.517984,0.397725,-0.017079
3,0.443043,0.746312,False,0.311291,0.519517,0.398162,-0.020822
4,0.431929,0.753721,False,0.309377,0.527671,0.395847,-0.026219
5,0.422429,0.759998,False,0.310918,0.524206,0.395168,-0.026127
6,0.415051,0.764835,True,0.30709,0.530856,0.392048,-0.014916
7,0.408513,0.7691,False,0.311875,0.528184,0.397035,-0.035882
8,0.402974,0.772692,False,0.309082,0.533435,0.39382,-0.015128
9,0.397349,0.77633,False,0.310833,0.533225,0.398827,-0.027187
10,0.392165,0.77966,False,0.307038,0.540011,0.388041,-0.004505
11,0.38739,0.782722,False,0.312758,0.535933,0.39692,-0.021074
12,0.382333,0.785947,False,0.316191,0.525184,0.399718,-0.047826
13,0.377792,0.788826,False,0.311108,0.53174,0.396045,-0.023403
14,0.373337,0.791659,False,0.315069,0.531833,0.397683,-0.03859
15,0.36898,0.794408,False,0.315447,0.52915,0.399432,-0.036747
16,0.364599,0.79716,False,0.314696,0.529953,0.39876,-0.039512
