pathway,pcc,r2,mae
Oxidative_Phosphorylation,0.80401605,0.5573346,0.3208891
MYC_Targets,0.74696666,0.5544633,0.28312066
mTOR_Signaling,0.67813975,0.39416414,0.39743885
Fibrosis,0.6743721,0.3178621,0.4627109
ECM_Organization,0.66614974,0.36573416,0.42841277
G2M_Checkpoint,0.66145945,0.060260236,0.6622196
Unfolded_Protein_Response,0.6465873,0.35060436,0.44896203
tls,0.6380371,0.31378192,0.551857
E2F_Targets,0.6376902,0.30292726,0.44307357
Mitotic_Spindle,0.613456,0.06252819,0.64949816
IL6_JAK_STAT3,0.6079141,0.28839034,0.4422074
Wound_Healing,0.5973609,0.26060975,0.40132672
Angiogenesis,0.5859897,0.017182231,0.71480274
Glycolysis,0.58561915,0.054353952,0.536591
P53_Pathway,0.5676095,0.13661498,0.5695248
emt,0.55557764,0.2505263,0.4341557
DNA_Damage_Response,0.53084177,0.11294639,0.56240356
mhc,0.5200473,0.21702117,0.2370335
Coagulation,0.44396758,-0.016945958,0.58646476
Apoptosis,0.4333881,0.18115705,0.45141095
tgfb,0.42459533,0.10494393,0.5001598
Inflammatory_Response,0.41743538,0.1398465,0.61404955
hypoxia,0.39457923,0.042907596,0.5152969
Complement,0.36634332,-1.1222262,0.936525
Reactive_Oxygen_Species,0.3441799,-0.1249516,0.68597597
TNF_Signaling,0.29152444,0.063728034,0.4784815
toxic,0.26258639,0.040283144,0.6360587
icp,0.20897628,-0.1794343,0.80968577
Interferon_Alpha,0.17989217,-0.93448246,0.7282675
ifng,0.12421848,-0.15690851,0.5491099
