epoch,train_loss,val_loss,val_pcc,stage,lr
31,0.7000140984177504,0.9057784080505371,0.3933732510003038,stage2,2e-05
32,0.7304520610100858,0.857717752456665,0.3968373468494285,stage2,2e-05
33,0.7028973351339666,0.8716733455657959,0.39957683283605666,stage2,2e-05
34,0.6984875301461788,0.8924621343612671,0.39970016118876334,stage2,2e-05
35,0.7053308434870319,0.8840907216072083,0.3993262613368035,stage2,2e-05
36,0.6990435694057804,0.8681442141532898,0.3986252808764979,stage2,2e-05
37,0.6915345486231902,0.8609239459037781,0.39845858464792483,stage2,2e-05
38,0.6887841419974535,0.8630898594856262,0.3994960821444502,stage2,2e-05
39,0.6891086898318456,0.86788409948349,0.401163287902987,stage2,2e-05
40,0.6880349593980717,0.8687968850135803,0.40264887833447705,stage2,2e-05
41,0.685861645929278,0.8647677302360535,0.4035696488020465,stage2,2e-05
42,0.6816816316909894,0.8599056601524353,0.40386305172226955,stage2,2e-05
43,0.6777981177004422,0.8583535552024841,0.4037990505533974,stage2,2e-05
44,0.6761491834383494,0.8606735467910767,0.4037757860706665,stage2,2e-05
45,0.6761634858933872,0.8649570345878601,0.4040054464321352,stage2,2e-05
46,0.6739166213529412,0.8677293062210083,0.40440058000544027,stage2,2e-05
47,0.6717906788105095,0.8662943243980408,0.40485825716014856,stage2,2e-05
48,0.6700193363170687,0.862213671207428,0.40534616241657784,stage2,2e-05
49,0.6670125089913391,0.8589865565299988,0.40596433628112216,stage2,2e-05
50,0.6649032212237133,0.8585438132286072,0.4067631423684864,stage2,2e-05
