label,mean,std,count
tls,-2337.124158574367,1559.681368788726,35227
tgfb,3917.5176584697565,1699.5043831142589,35227
emt,2178.7979120029095,2144.7649374810903,35227
hypoxia,2770.7632771144526,2525.1671638587804,35227
mhc,8007.920979796833,2170.335250286876,35227
icp,-3642.2960090450206,1530.4777355030503,35227
ifng,-739.1919806976019,2877.214564519074,35227
toxic,-2022.768912286653,1914.1811829497608,35227
Glycolysis,2728.7993557997756,1734.2974284478373,35227
Inflammatory_Response,-55.03082095205002,1941.184584893142,35227
IL6_JAK_STAT3,2655.5734039879226,1950.0101844369171,35227
P53_Pathway,977.3328607703855,1673.0352839604432,35227
DNA_Damage_Response,1207.8077633445455,1466.8857489668371,35227
Complement,-1796.8344940485435,1749.115958908115,35227
Coagulation,-627.5900459337599,996.4124921947728,35227
Oxidative_Phosphorylation,2820.6997085072785,2408.601092219863,35227
Reactive_Oxygen_Species,2793.357352551513,1135.1538816470006,35227
Wound_Healing,2157.0484351702307,1993.2617704803567,35227
Fibrosis,2310.025519928727,2767.9135545248228,35227
MYC_Targets,2045.122322354269,3131.9465831204866,35227
E2F_Targets,1460.533215638378,2014.3351247371806,35227
G2M_Checkpoint,461.15650666101357,2141.5226724736244,35227
Mitotic_Spindle,408.31699379006284,1837.435084062207,35227
Unfolded_Protein_Response,2521.4992785456293,1916.5671112326836,35227
mTOR_Signaling,2038.80932499561,1782.5528070504213,35227
Interferon_Alpha,3654.772701781457,1860.490020838173,35227
Angiogenesis,1196.040499737595,1759.363848185696,35227
Apoptosis,1174.4827378175717,1553.4431529527808,35227
TNF_Signaling,155.1672884749805,2193.119193786484,35227
ECM_Organization,3072.313533296732,3154.9673071541124,35227
